gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
309,train,2021-12-26,2023-01-31,280,Mu,True,0.3333,0.1111,0.0000,2,
309,train,2021-12-26,2023-01-31,280,Kappa,True,0.5000,0.2500,0.0000,1,L452R
323,train,2020-01-29,2026-03-04,206,Gamma,True,0.4167,0.0833,0.0000,0,
323,train,2020-01-29,2026-03-04,206,Zeta,True,0.3333,0.0000,0.0000,0,
323,train,2020-01-29,2026-03-04,206,Alpha,True,0.5714,0.0000,0.0097,0,
323,train,2020-01-29,2026-03-04,206,Beta,True,0.4286,0.0000,0.0000,0,
323,train,2020-01-29,2026-03-04,206,Delta,True,1.0000,0.1667,0.0049,0,
323,train,2020-01-29,2026-03-04,206,Omicron_BA1,True,1.0000,0.0714,0.0097,0,
323,train,2020-01-29,2026-03-04,206,Lambda,True,0.3333,0.0000,0.0000,1,
323,train,2020-01-29,2026-03-04,206,Mu,True,0.7778,0.1111,0.0000,0,
323,train,2020-01-29,2026-03-04,206,Kappa,True,1.0000,0.0000,0.0000,0,
