position,entropy,label,mut_freq
67,0.01386101,mutating,0.00104523
68,0.16550726,mutating,0.00864690
69,0.02481357,mutating,0.00261307
70,0.01429335,mutating,0.00109274
71,0.01728441,mutating,0.00137780
72,0.03934947,mutating,0.00294565
73,0.01993109,mutating,0.00237552
74,0.02182275,mutating,0.00199544
75,0.01383905,mutating,0.00104523
76,0.01368762,mutating,0.00099772
77,0.09537521,mutating,0.00470353
78,0.01616573,mutating,0.00166287
79,0.01395481,mutating,0.00109274
80,0.01454620,mutating,0.00118776
81,0.01493492,mutating,0.00133029
82,0.01791999,mutating,0.00156784
83,0.01401244,mutating,0.00109274
84,0.01435921,mutating,0.00118776
85,0.01383905,mutating,0.00104523
86,0.00034698,mutating,0.00009502
87,0.01383905,mutating,0.00104523
88,0.00084550,mutating,0.00023755
89,0.01418582,mutating,0.00114025
90,0.07763261,mutating,0.00242303
91,0.01359370,mutating,0.00099772
92,0.01394047,mutating,0.00109274
93,0.02864811,mutating,0.00342075
94,0.01721566,mutating,0.00175789
95,0.00159489,mutating,0.00038008
96,0.01709517,mutating,0.00175789
97,0.01513161,mutating,0.00128278
98,0.10279959,mutating,0.00318320
99,0.01386101,mutating,0.00104523
100,0.01503283,mutating,0.00133029
101,0.01416387,mutating,0.00114025
102,0.01692325,mutating,0.00133029
103,0.02424032,mutating,0.00194793
104,0.01386101,mutating,0.00104523
105,0.01386101,mutating,0.00104523
106,0.01944216,mutating,0.00209046
107,0.06127953,mutating,0.00289814
108,0.01557376,mutating,0.00152033
109,0.15808059,mutating,0.00513113
110,0.01418582,mutating,0.00114025
111,0.01827011,mutating,0.00228050
112,0.01386101,mutating,0.00104523
113,0.01418582,mutating,0.00114025
114,0.01424939,mutating,0.00114025
115,0.01409191,mutating,0.00114025
116,0.01386101,mutating,0.00104523
117,0.01386101,mutating,0.00104523
118,0.01641476,mutating,0.00166287
119,0.01761988,mutating,0.00180540
120,0.01945241,mutating,0.00061764
121,0.05681391,mutating,0.00256556
122,0.01403439,mutating,0.00109274
123,0.01435921,mutating,0.00118776
124,0.01460050,mutating,0.00128278
125,0.01376709,mutating,0.00104523
126,0.01473107,mutating,0.00114025
127,0.03991845,mutating,0.00304067
128,0.01415559,mutating,0.00114025
129,0.01744741,mutating,0.00147282
130,0.00121768,mutating,0.00028506
131,0.01386101,mutating,0.00104523
132,0.01445301,mutating,0.00123527
133,0.01516257,mutating,0.00128278
134,0.01409191,mutating,0.00114025
135,0.01386101,mutating,0.00104523
136,0.02759302,mutating,0.00327822
137,0.07819355,mutating,0.00375333
138,0.01374514,mutating,0.00104523
139,0.03719021,mutating,0.00532117
140,0.00069397,mutating,0.00019004
141,0.04491746,mutating,0.00061764
142,0.01374514,mutating,0.00104523
143,0.21964839,mutating,0.00522615
144,0.01477133,mutating,0.00142531
145,0.01429335,mutating,0.00109274
146,0.07812250,mutating,0.00185291
147,0.01386101,mutating,0.00104523
148,0.02075328,mutating,0.00137780
149,0.00064177,mutating,0.00019004
150,0.01837019,mutating,0.00166287
151,0.01324693,mutating,0.00090270
152,0.01507021,mutating,0.00133029
153,0.09787045,mutating,0.00451349
154,0.01386101,mutating,0.00104523
155,0.19307479,mutating,0.00565374
156,0.01468561,mutating,0.00123527
157,0.22714257,mutating,0.00798176
158,0.01519902,mutating,0.00118776
159,0.23252572,mutating,0.00589130
160,0.31639519,mutating,0.00688902
161,0.01455769,mutating,0.00128278
162,0.01387511,mutating,0.00104523
163,0.01349967,mutating,0.00099772
164,0.01198134,mutating,0.00095021
165,0.01718366,mutating,0.00137780
166,0.01394047,mutating,0.00109274
167,0.01403439,mutating,0.00109274
168,0.01432897,mutating,0.00109274
169,0.01368762,mutating,0.00099772
170,0.07475527,mutating,0.00147282
171,0.08227827,mutating,0.00356328
172,0.10673559,mutating,0.00365830
173,0.16343927,mutating,0.00275561
174,0.24254590,mutating,0.00384835
175,0.11554576,mutating,0.00475105
176,0.01440843,mutating,0.00123527
177,0.03260803,mutating,0.00171038
178,0.01470912,mutating,0.00123527
179,0.01556476,mutating,0.00118776
180,0.01595913,mutating,0.00156784
181,0.01435921,mutating,0.00118776
182,0.01614303,mutating,0.00161536
183,0.01680369,mutating,0.00166287
184,0.01428724,mutating,0.00118776
185,0.00052048,mutating,0.00014253
186,0.02558484,mutating,0.00228050
187,0.01932643,mutating,0.00175789
188,0.17709027,mutating,0.00285063
189,0.01477388,mutating,0.00114025
190,0.01411386,mutating,0.00114025
191,0.01383905,mutating,0.00104523
192,0.01432897,mutating,0.00109274
193,0.01418333,mutating,0.00109274
194,0.01540358,mutating,0.00133029
195,0.01394047,mutating,0.00109274
196,0.01386101,mutating,0.00104523
197,0.01523020,mutating,0.00142531
198,0.01754988,mutating,0.00194793
199,0.01368762,mutating,0.00099772
200,0.01403439,mutating,0.00109274
201,0.05822982,mutating,0.00574876
202,0.01435921,mutating,0.00118776
203,0.04347771,mutating,0.00232801
204,0.19796087,mutating,0.00228050
205,0.01751999,mutating,0.00180540
206,0.01427751,mutating,0.00109274
207,0.02961577,mutating,0.00299316
208,0.15083867,mutating,0.00313569
209,0.02744772,mutating,0.00351577
210,0.01505588,mutating,0.00133029
211,0.01631134,mutating,0.00156784
212,0.03513971,mutating,0.00261307
213,0.25121355,mutating,0.00451349
214,0.11571467,mutating,0.00327822
215,0.01403439,mutating,0.00109274
216,0.01858042,mutating,0.00194793
217,0.07230414,mutating,0.00194793
218,0.01735140,mutating,0.00180540
219,0.01583431,mutating,0.00137780
220,0.01465378,mutating,0.00118776
221,0.01393286,mutating,0.00109274
222,0.02253443,mutating,0.00194793
223,0.02908012,mutating,0.00218548
224,0.01608568,mutating,0.00152033
225,0.01394047,mutating,0.00109274
226,0.01401244,mutating,0.00109274
227,0.17602369,mutating,0.00389586
228,0.02123124,mutating,0.00142531
229,0.03834074,mutating,0.00432345
230,0.01403439,mutating,0.00109274
231,0.01952073,mutating,0.00190042
232,0.02511340,mutating,0.00223299
233,0.01448040,mutating,0.00123527
234,0.02801682,mutating,0.00418092
235,0.02043941,mutating,0.00247054
236,0.03184090,mutating,0.00693653
237,0.07262512,mutating,0.00161536
238,0.23070432,mutating,0.00422843
239,0.01395481,mutating,0.00109274
240,0.25805628,mutating,0.00945458
241,0.11453176,mutating,0.00313569
242,0.11273185,mutating,0.00147282
243,0.01408987,mutating,0.00104523
244,0.00653504,mutating,0.00161536
245,0.14667572,mutating,0.00247054
246,0.01344852,mutating,0.00109274
247,0.01386101,mutating,0.00104523
248,0.01510830,mutating,0.00123527
249,0.01376709,mutating,0.00104523
250,0.01404038,mutating,0.00109274
251,0.01732191,mutating,0.00161536
252,0.01376709,mutating,0.00104523
253,0.01609928,mutating,0.00161536
254,0.01453573,mutating,0.00118776
255,0.01403439,mutating,0.00109274
256,0.01394047,mutating,0.00109274
257,0.02244159,mutating,0.00242303
258,0.01416387,mutating,0.00114025
259,0.01374514,mutating,0.00104523
260,0.01403439,mutating,0.00109274
261,0.01906302,mutating,0.00218548
262,0.02999787,mutating,0.00123527
263,0.01566477,mutating,0.00161536
264,0.01386101,mutating,0.00104523
265,0.01376709,mutating,0.00104523
266,0.01376709,mutating,0.00104523
267,0.01470301,mutating,0.00133029
268,0.01415559,mutating,0.00114025
269,0.01401244,mutating,0.00109274
270,0.01432897,mutating,0.00118776
271,0.01376709,mutating,0.00104523
272,0.01367306,mutating,0.00104523
273,0.01401244,mutating,0.00109274
274,0.01706469,mutating,0.00161536
275,0.03676509,mutating,0.00285063
276,0.07252617,mutating,0.00494109
277,0.02847351,mutating,0.00427594
278,0.01555501,mutating,0.00142531
279,0.01312670,mutating,0.00171038
280,0.01460050,mutating,0.00128278
281,0.01368762,mutating,0.00099772
282,0.01528771,mutating,0.00147282
283,0.01595184,mutating,0.00156784
284,0.01958615,mutating,0.00251805
285,0.00069397,mutating,0.00019004
286,0.02946411,mutating,0.00128278
287,0.01708502,mutating,0.00175789
288,0.03239321,mutating,0.00166287
289,0.01500054,mutating,0.00137780
290,0.01879996,mutating,0.00218548
291,0.01760856,mutating,0.00190042
292,0.01386101,mutating,0.00104523
293,0.24790429,mutating,0.00389586
294,0.01588441,mutating,0.00156784
295,0.15542805,mutating,0.00361079
296,0.01401244,mutating,0.00109274
297,0.01507267,mutating,0.00123527
298,0.01426326,mutating,0.00109274
299,0.01564508,mutating,0.00118776
300,0.01439274,mutating,0.00114025
301,0.01386101,mutating,0.00104523
302,0.01403972,mutating,0.00114025
303,0.01485334,mutating,0.00137780
304,0.00344699,mutating,0.00090270
305,0.00221468,mutating,0.00057013
306,0.02188540,mutating,0.00270810
307,0.01655317,mutating,0.00152033
308,0.01403439,mutating,0.00109274
309,0.01376709,mutating,0.00104523
310,0.01359370,mutating,0.00099772
311,0.01401244,mutating,0.00109274
312,0.01661069,mutating,0.00161536
313,0.01473107,mutating,0.00114025
314,0.01685400,mutating,0.00147282
315,0.01579651,mutating,0.00156784
316,0.01556499,mutating,0.00128278
317,0.01435921,mutating,0.00118776
318,0.01368762,mutating,0.00099772
319,0.03438601,mutating,0.00285063
320,0.01399049,mutating,0.00109274
321,0.01519902,mutating,0.00128278
322,0.01535867,mutating,0.00147282
323,0.01435921,mutating,0.00118776
324,0.01982649,mutating,0.00251805
325,0.01605313,mutating,0.00152033
326,0.12339367,mutating,0.00171038
327,0.23699953,mutating,0.00498860
328,0.01475193,mutating,0.00123527
329,0.01386101,mutating,0.00104523
330,0.00099704,mutating,0.00028506
331,0.01491672,mutating,0.00109274
332,0.01442852,mutating,0.00104523
333,0.00084550,mutating,0.00023755
334,0.01386101,mutating,0.00104523
335,0.01386101,mutating,0.00104523
336,0.01403439,mutating,0.00109274
337,0.01386101,mutating,0.00104523
338,0.01720073,mutating,0.00223299
339,0.01513607,mutating,0.00128278
340,0.01480521,mutating,0.00133029
341,0.08201581,mutating,0.00275561
342,0.01562081,mutating,0.00128278
343,0.01634457,mutating,0.00166287
344,0.01520825,mutating,0.00133029
345,0.01386101,mutating,0.00104523
346,0.01451064,mutating,0.00123527
347,0.01420778,mutating,0.00114025
348,0.01383905,mutating,0.00104523
349,0.01420778,mutating,0.00114025
350,0.01463183,mutating,0.00118776
351,0.01391852,mutating,0.00109274
352,0.01445217,mutating,0.00118776
353,0.01426529,mutating,0.00118776
354,0.01401244,mutating,0.00109274
355,0.01394047,mutating,0.00109274
356,0.01376709,mutating,0.00104523
357,0.00069397,mutating,0.00019004
358,0.01401244,mutating,0.00109274
359,0.01450235,mutating,0.00123527
360,0.01376709,mutating,0.00104523
361,0.01516581,mutating,0.00118776
362,0.20333579,mutating,0.00840935
363,0.01475193,mutating,0.00123527
364,0.01386101,mutating,0.00104523
365,0.01411386,mutating,0.00114025
366,0.01420778,mutating,0.00114025
367,0.01550381,mutating,0.00109274
368,0.01503237,mutating,0.00133029
369,0.01384644,mutating,0.00109274
370,0.01391852,mutating,0.00109274
371,0.01614326,mutating,0.00156784
372,0.01376709,mutating,0.00104523
373,0.01880866,mutating,0.00190042
374,0.01448869,mutating,0.00123527
375,0.01418582,mutating,0.00114025
376,0.19975670,mutating,0.00266059
377,0.01452425,mutating,0.00118776
378,0.01401244,mutating,0.00109274
379,0.01423505,mutating,0.00118776
380,0.01403439,mutating,0.00109274
381,0.01465998,mutating,0.00133029
382,0.01492531,mutating,0.00128278
383,0.01526438,mutating,0.00147282
384,0.01418582,mutating,0.00114025
385,0.01401244,mutating,0.00109274
386,0.01401244,mutating,0.00109274
387,0.02245265,mutating,0.00232801
388,0.01475193,mutating,0.00123527
389,0.01796512,mutating,0.00204295
390,0.15504426,mutating,0.00266059
391,0.00117053,mutating,0.00033257
392,0.01420778,mutating,0.00114025
393,0.01605247,mutating,0.00161536
394,0.01538444,mutating,0.00137780
395,0.01546109,mutating,0.00133029
396,0.01488250,mutating,0.00128278
397,0.01401244,mutating,0.00109274
398,0.01618768,mutating,0.00166287
399,0.01403439,mutating,0.00109274
400,0.01603567,mutating,0.00142531
401,0.07121308,mutating,0.00190042
402,0.01593426,mutating,0.00147282
403,0.01420778,mutating,0.00114025
404,0.01692112,mutating,0.00114025
405,0.01499220,mutating,0.00133029
406,0.01426529,mutating,0.00118776
407,0.01419321,mutating,0.00118776
408,0.01401244,mutating,0.00109274
409,0.01409191,mutating,0.00114025
410,0.01411386,mutating,0.00114025
411,0.01409191,mutating,0.00114025
412,0.01445845,mutating,0.00123527
413,0.01386101,mutating,0.00104523
414,0.01418582,mutating,0.00114025
415,0.01531483,mutating,0.00142531
416,0.00222725,mutating,0.00047510
417,0.01641512,mutating,0.00171038
418,0.00101899,mutating,0.00028506
419,0.01491650,mutating,0.00133029
420,0.01430702,mutating,0.00118776
421,0.02136504,mutating,0.00251805
422,0.01416387,mutating,0.00114025
423,0.01826540,mutating,0.00190042
424,0.02677943,mutating,0.00228050
425,0.01418582,mutating,0.00114025
426,0.01885268,mutating,0.00156784
427,0.01420778,mutating,0.00114025
428,0.01940999,mutating,0.00171038
429,0.01461816,mutating,0.00128278
430,0.01382449,mutating,0.00109274
431,0.01723582,mutating,0.00185291
432,0.01418582,mutating,0.00114025
433,0.01732164,mutating,0.00209046
434,0.01435921,mutating,0.00118776
435,0.01609140,mutating,0.00147282
436,0.01401244,mutating,0.00109274
437,0.01420778,mutating,0.00114025
438,0.01418582,mutating,0.00114025
439,0.01973967,mutating,0.00237552
440,0.01908311,mutating,0.00209046
441,0.01465378,mutating,0.00118776
442,0.01678282,mutating,0.00190042
443,0.01634405,mutating,0.00161536
444,0.01440843,mutating,0.00123527
445,0.00387675,mutating,0.00090270
446,0.01496196,mutating,0.00133029
447,0.01399788,mutating,0.00114025
448,0.01435921,mutating,0.00118776
449,0.01488250,mutating,0.00128278
450,0.01479154,mutating,0.00133029
451,0.01485106,mutating,0.00123527
452,0.01584869,mutating,0.00142531
453,0.01524183,mutating,0.00133029
454,0.01427245,mutating,0.00123527
455,0.01501042,mutating,0.00123527
456,0.01488467,mutating,0.00133029
457,0.02249370,mutating,0.00166287
458,0.01498688,mutating,0.00123527
459,0.01462354,mutating,0.00128278
460,0.02080336,mutating,0.00190042
461,0.01464012,mutating,0.00114025
462,0.01475193,mutating,0.00118776
463,0.01426529,mutating,0.00118776
464,0.01453259,mutating,0.00123527
465,0.15969345,mutating,0.00209046
466,0.01432269,mutating,0.00123527
467,0.03209237,mutating,0.00199544
468,0.01762887,mutating,0.00128278
469,0.01430702,mutating,0.00118776
470,0.01587664,mutating,0.00123527
471,0.01521313,mutating,0.00133029
472,0.01426529,mutating,0.00118776
473,0.01411386,mutating,0.00114025
474,0.01433725,mutating,0.00118776
475,0.01435921,mutating,0.00118776
476,0.01552989,mutating,0.00114025
477,0.02277354,mutating,0.00204295
478,0.01501439,mutating,0.00118776
479,0.01418582,mutating,0.00114025
480,0.01401244,mutating,0.00109274
481,0.01418582,mutating,0.00114025
482,0.01432897,mutating,0.00118776
483,0.02152920,mutating,0.00166287
484,0.01464012,mutating,0.00118776
485,0.01383905,mutating,0.00104523
486,0.01418582,mutating,0.00114025
487,0.01598100,mutating,0.00171038
488,0.01388828,mutating,0.00109274
489,0.01614326,mutating,0.00156784
490,0.01510510,mutating,0.00128278
491,0.02351232,mutating,0.00313569
492,0.01403439,mutating,0.00109274
493,0.01723132,mutating,0.00194793
494,0.02747363,mutating,0.00213797
495,0.01466207,mutating,0.00128278
496,0.01386101,mutating,0.00104523
497,0.01433725,mutating,0.00118776
498,0.01473325,mutating,0.00123527
499,0.00910462,mutating,0.00104523
500,0.01672654,mutating,0.00118776
501,0.01382449,mutating,0.00109274
502,0.12761818,mutating,0.00332573
503,0.01492531,mutating,0.00128278
504,0.17695291,mutating,0.00788674
505,0.01760692,mutating,0.00199544
506,0.00086745,mutating,0.00023755
507,0.01409191,mutating,0.00114025
508,0.02161153,mutating,0.00190042
509,0.01499866,mutating,0.00114025
510,0.01433725,mutating,0.00118776
511,0.01545506,mutating,0.00128278
512,0.01939157,mutating,0.00137780
513,0.02120448,mutating,0.00161536
514,0.01403439,mutating,0.00109274
515,0.01520621,mutating,0.00147282
516,0.02194741,mutating,0.00185291
517,0.01617539,mutating,0.00147282
518,0.01959450,mutating,0.00171038
519,0.01588782,mutating,0.00166287
520,0.02606332,mutating,0.00266059
521,0.01496493,mutating,0.00137780
522,0.01427963,mutating,0.00114025
523,0.00398504,mutating,0.00080768
524,0.01613193,mutating,0.00161536
525,0.01876572,mutating,0.00194793
526,0.01435921,mutating,0.00118776
527,0.01420778,mutating,0.00114025
528,0.01857777,mutating,0.00171038
529,0.01418582,mutating,0.00114025
530,0.02828320,mutating,0.00194793
531,0.01520825,mutating,0.00142531
532,0.01403439,mutating,0.00109274
533,0.01420778,mutating,0.00114025
534,0.01383960,mutating,0.00104528
535,0.01418639,mutating,0.00114031
536,0.01603610,mutating,0.00152041
537,0.03456623,mutating,0.00427614
538,0.01374568,mutating,0.00104528
539,0.01448811,mutating,0.00128284
540,0.00479535,mutating,0.00109279
541,0.01401300,mutating,0.00109279
542,0.01606154,mutating,0.00161543
543,0.01456691,mutating,0.00123533
544,0.06745221,mutating,0.00327838
545,0.09940322,mutating,0.00612914
546,0.00127821,mutating,0.00038010
547,0.00204129,mutating,0.00052264
548,0.01394103,mutating,0.00109279
549,0.01931643,mutating,0.00166294
550,0.01493588,mutating,0.00128290
551,0.01536848,mutating,0.00137793
552,0.01419434,mutating,0.00118787
553,0.01605728,mutating,0.00156799
554,0.01403551,mutating,0.00109284
555,0.01492759,mutating,0.00128290
556,0.01765594,mutating,0.00194811
557,0.01561737,mutating,0.00128290
558,0.01446789,mutating,0.00114036
559,0.01674072,mutating,0.00156799
560,0.01634899,mutating,0.00171054
561,0.01384180,mutating,0.00104548
562,0.02315286,mutating,0.00190087
563,0.01611560,mutating,0.00156822
564,0.01434749,mutating,0.00123557
565,0.01528511,mutating,0.00133067
